,,,,,,,,Health Outcomes,,Social and Economic Factors ,,,,,,Health and Health Behaviors,,,,Clinical Care - Quality of Care,,,,,,Clinical Care - Access to Care,,,,,,,@
,,,Population,,,Births,,Mortality,,Race / Ethnicity,,,,Age,,Health Risk Factors,,Tobacco Use,,Prenatal Care ,,Delivery,,Postnatal Care,,Affordable ,,,Accessible,,,,
,,,Total Population,Number (#) of Women of Child-bearing Age (19 - 54 years),Percent (%) of Total Population that are Women of Child-bearing Age (19 - 54 years),"Total 
Births (#)
2018 - 2021",Average Annual Births ,"Pregnancy- Related Deaths (#)
2018 - 2021",   Pregnancy- Related Mortality Ratio (PRMR) 2018-2021,Number (#) of Births to Non-Hispanic Black or AA Mothers 2018-2021,Percent (%) of Births to Non-Hispanic Black or AA Mothers 2018-2021,Number (#) of Births to Indigenous Mothers 2018-2021,Percent (%) of Births to Indigenous Mothers 2018-2021,Number (#) of Births to Mothers 35 years and over 2018-2021,Percent (%) of Births to Mothers 35 years and over 2018-2021,Number (#) of Births to Mothers with at Least 1 Health Risk Factor 2018-2021,Percent (%) of Births to Mothers with at Least 1 Health Risk Factor 2018-2021,Number (#) of Births to Mothers Who Used Tobacco During Pregnancy 2018-2021,Percent (%) of Births to Mothers Who Used Tobacco During Pregnancy 2018-2021,Number (#) of Births to Mothers Who Received No Prenatal Care 2018-2021,Percent (%) of Births to Mothers Who Received No Prenatal Care 2018-2021,Number (#) of Births Delivered via C-section 2018-2021,Percent (%) of Births Delivered via C-section 2018-2021,Received Maternal Postpartum Checkup (%),Did not Receive Maternal Postpartum Checkup (%),Number (#) of women of childbearing age (19 through 54) with No Health Insurance,Percent (%) of women of childbearing age (19 through 54) with No Health Insurance,"State Medicaid 
Expansion Status",Number of Counties with No Ob/Gyn provider,Total Number of Counties in the State ,Percent of Counties with No Ob/Gyn,Accessibility Phrase,
geo-name,geo-id,geo-abbrev,total-pop,female19-54-pop-number,female19-54-pop-percent,births-2018-2021,births-ave-2018-2021,preg-deaths-2018-2021,prmr-2018-2021,nhb-births-2018-2021-number,nhb-births-2018-2021-percent,aian-births-2018-2021-number,aian-births-2018-2021-percent,35yo-2018-2021-number,35yo-2018-2021-percent,rf-2018-2021-number,rf-2018-2021-percent,tobacco-2018-2021-number,tobacco-2018-2021-percent,no-prenatal-2018-2021-Number,no-prenatal-2018-2021-percent,csect-2018-2021-number,csect-2018-2021-percent,postpart-2018-2021-percent,nopostpart-2018-2021-percent,no-insurance-2021-number,no-insurance-2021-percent,medicaid-expansion-2023,,,,,
United States,.,.,"324,818,565","76,584,073",24%,"14,817,191","3,704,298","5,051",34,"2,167,543",15%,"112,087",0.8%,"2,817,873",19%,"4,840,574",33%,"835,048",6%,"273,451",1.8%,"4,717,810",32%,88.10%,11.9%,"8,912,151",11.6%,NA,1509,3142,48%,NA,
Alabama,01,AL,"4,920,010","1,154,817",23%,"232,077","58,019",150,65,"70,062",30%,588,0.3%,"28,125",12%,"77,096",33%,"17,701",8%,"5,596",2.4%,"80,883",35%,91.10%,8.9%,"169,124",14.6%,Not Adopted,33,67,49%,"In Alabama, 33 out of 67 counties have no Ob/Gyn provider.",
Alaska,02,AK,"709,438","165,368",23%,"38,744","9,686",14,36,"1,113",3%,"7,378",19.0%,"6,531",17%,"14,270",37%,"3,417",9%,423,1.1%,"8,820",23%,85%,15.0%,"24,081",14.6%,Adopted and Implemented,19,29,66%,"In Alaska, 19 out of 29 counties have no Ob/Gyn provider.",
Arizona,04,AZ,"6,976,512","1,585,626",23%,"314,961","78,740",133,42,"17,799",6%,"15,107",4.8%,"51,684",16%,"102,456",33%,"12,666",4%,"8,266",2.6%,"88,476",28%,85.20%,14.8%,"219,825",13.9%,Adopted and Implemented,2,15,13%,"In Arizona, 2 out of 15 counties have no Ob/Gyn provider.",
Arkansas,05,AR,"2,955,770","677,755",23%,"144,798","36,200",83,57,"27,742",19%,818,0.6%,"16,325",11%,"47,371",33%,"16,803",12%,"3,695",2.6%,"49,736",34%,88.30%,11.7%,"79,357",11.7%,Adopted and Implemented,45,75,60%,"In Arkansas, 45 out of 75 counties have no Ob/Gyn provider.",
California,06,CA,"38,946,377","9,484,524",24%,"1,742,266","435,567",332,19,"93,534",5%,"6,084",0.3%,"432,088",25%,"517,209",30%,"18,536",1%,"14,199",0.8%,"535,398",31%,,100.0%,"871,396",9.2%,Adopted and Implemented,9,58,16%,"In California, 9 out of 58 counties have no Ob/Gyn provider.",
Colorado,08,CO,"5,629,512","1,365,334",24%,"250,197","62,549",53,21,"12,562",5%,"1,454",0.6%,"53,014",21%,"74,250",30%,"12,100",5%,"3,831",1.5%,"67,150",27%,88.50%,11.5%,"135,032",9.9%,Adopted and Implemented,34,64,53%,"In Colorado, 34 out of 64 counties have no Ob/Gyn provider.",
